sentence,label
तिसरे इंग्रज-मराठा युद्ध हे इ।,human
१८१७-१८मध्ये मराठे व इंग्रजांच्यात झालेले तिसरे व निर्णायक युद्ध होते।,human
या युद्धात इंग्रजांनी मराठा साम्राज्याचा पराभव केला व जवळपास संपूर्ण भारतावर नियंत्रण मिळवले।,human
या आधी झालेल्या दुसऱ्या इंग्रज मराठा युद्धानंतर मराठ्यांना आणि ब्रिटिशांना उसंत मिळाली।,human
त्या दरम्यान ब्रिटिशांनी भारतातील स्वतःची शक्ती वाढवली परंतु मराठ्यांनी एकोपा टिकवला नाही आणि ते ब्रिटिशांच्या तुलनेत मराठे राजनैतिक आणि लष्करीदृष्ट्या कमी पडत गेले।,human
अशा पार्श्वभूमीवर गव्हर्नर जनरल लॉर्ड हेस्टिंग्सची नियुक्ती झाली।,human
त्याने आपल्या कारकिर्दीत आक्रमक धोरणाचा अवलंब केला।,human
नेपाळ युद्धाच्या समाप्तीनंतर पेंढारी लोकांशी संघर्ष सुरू करून अप्रत्यक्षरीत्या मराठ्यांनाच आव्हान दिले।,human
या व इतर अनेक कारणांमुळे इंग्रज आणि मराठ्यांमध्ये पुन्हा एकदा युद्धाची ठिणगी पडली।,human
अखेर पेशव्याने अंतिम युद्ध करण्याचा निर्णय घेतला।,human
त्याला अप्पासाहेब भोसले आणि मल्हारराव होळकर (यशवंतराव होळकरांचा पुत्र) यांनी साथ दिली।,human
"पण युद्धात पेशवा,भोसले आणि होळकरांना एकत्र येऊ न देता त्यांना इंग्रजांनी वेगवेगळे पराभूत केले।",human
"सीताबर्डीच्या लढाईत भोसल्यांचा, महिदपुरच्या लढाईत होळकरांचा आणि खडकी, कोरेगाव व आष्टा येथील लढाईत पेशव्यांचा पराभव झाला।",human
अशा प्रकारे एक एक करीत मराठे इंग्रजांसमोर हरले व सर्वांनी शरणागती पत्करली।,human
"हेस्टिंग्सने भोसले, पेशवा बाजीराव दुसरा आणि शिंदे यांना अपमानजनक तह स्वीकारण्यास भाग पडले।",human
बाजीरावाला पेशवेपद सोडावे लागले आणि त्याचा प्रदेश इंग्रजांनी आपल्या साम्राज्यात विलीन केला।,human
छत्रपतींचे सातारा राज्य व इतर मराठा सरदारांच्या प्रदेशावर ब्रिटिश नियंत्रण प्रस्थापित झाले आणि खऱ्या अर्थाने मराठा सत्तेची समाप्ती झाली।,human
नागपूरच्या मुधोजी भोसले दुसरे आणि इंदूरचे मल्हारराव होळकर तिसरे यांच्या पाठिंब्याने पेशवा बाजीराव दुसऱ्याच्या सैन्याने ईस्ट इंडिया कंपनीविरूद्ध जोरदार हल्ला केला।,human
